Name,Type,Area,City,Price,Amenities,Food Quality,Room Quality,Accommodations,Nearby Institutes,Nearby Hospitals,Nearby Malls,Latitude,Longitude,Reviews,Safety Score
Shree Heights,Hostel,Andheri,Mumbai,12830,"CCTV, Mattress, Geyser, AC, Fridge",Good,Average,1,COEP,Ruby Hall,Inorbit Mall,19.261407,72.962912,"Rooms are average, but food is good",4.4
Happy Heights,Hostel,Andheri,Mumbai,10181,"Mattress, Fridge, Gym, WiFi, Geyser",Average,Good,1,COEP,Nanavati,Inorbit Mall,19.213311,72.891834,Clean rooms but poor WiFi,4.8
Happy Nest,Hostel,Baner,Pune,8479,"Gym, Mattress, TV, Geyser, Fridge",Good,Good,1,MIT,Ruby Hall,Seasons Mall,18.553125,73.780958,Affordable and peaceful environment,3.5
Sai Heights,Hostel,Hinjewadi,Pune,5934,"Mattress, Geyser, AC, CCTV, Gym",Average,Excellent,3,COEP,Aditya Birla,Phoenix Marketcity,18.514869,73.720202,Clean rooms but poor WiFi,3.2
Sai Villa,Hostel,Kothrud,Pune,6182,"Fridge, AC, Gym, Security, Geyser",Good,Excellent,1,COEP,Lilavati,Phoenix Marketcity,18.548548,73.78091,Very poor maintenance and rude owner,4.6
Happy Homes,Flat,Kothrud,Pune,8831,"CCTV, Gym, WiFi, AC, Geyser",Poor,Excellent,3,SPPU,Aditya Birla,Inorbit Mall,18.565116,73.786117,"Rooms are average, but food is good",3.0
Blue Heights,PG,Hinjewadi,Pune,13507,"Security, Mattress, Fridge, Laundry, CCTV",Good,Average,3,IIT Mumbai,Aditya Birla,Seasons Mall,18.592701,73.713289,Great food and friendly staff,3.1
Shree Villa,Hostel,Vashi,Mumbai,4498,"Security, Fridge, Gym, Laundry, Mattress",Good,Average,1,MIT,Nanavati,Seasons Mall,19.296585,72.964414,Very poor maintenance and rude owner,3.2
Blue Villa,PG,Baner,Pune,6742,"CCTV, Security, AC, Fridge, TV",Average,Excellent,3,COEP,Aditya Birla,Seasons Mall,18.548392,73.800195,Clean rooms but poor WiFi,2.8
Shree Heights,Hostel,Baner,Pune,5979,"Mattress, WiFi, AC, CCTV, Laundry",Poor,Good,2,SPPU,Nanavati,Inorbit Mall,18.541263,73.868968,Great food and friendly staff,3.6
Sai Homes,PG,Wakad,Pune,13615,"Laundry, Gym, Mattress, Fridge, Geyser",Good,Excellent,3,COEP,Aditya Birla,Seasons Mall,18.55038,73.731802,Very poor maintenance and rude owner,4.6
Blue Nest,PG,Baner,Pune,10078,"Gym, AC, Laundry, TV, Security",Poor,Good,1,IIT Mumbai,Ruby Hall,Phoenix Marketcity,18.571387,73.818735,Affordable and peaceful environment,2.8
Green Heights,Flat,Andheri,Mumbai,8699,"Geyser, Laundry, TV, Fridge, Mattress",Average,Average,3,MIT,Lilavati,Seasons Mall,19.189218,72.925511,Very poor maintenance and rude owner,4.1
Green Nest,Flat,Powai,Mumbai,9141,"CCTV, Gym, Security, AC, TV",Average,Good,1,IIT Mumbai,Aditya Birla,Seasons Mall,19.134039,72.989826,Clean rooms but poor WiFi,3.6
Sai Nest,Hostel,Borivali,Mumbai,7244,"Geyser, Laundry, Mattress, Fridge, Gym",Poor,Excellent,3,COEP,Ruby Hall,Seasons Mall,19.144851,72.99455,Very poor maintenance and rude owner,3.3
Green Homes,PG,Andheri,Mumbai,10826,"Mattress, Geyser, Security, Fridge, CCTV",Average,Average,1,COEP,Nanavati,Inorbit Mall,19.27165,72.984,Clean rooms but poor WiFi,2.6
Shree Homes,Hostel,Powai,Mumbai,7689,"Security, Laundry, Mattress, Fridge, Geyser",Poor,Good,3,MIT,Ruby Hall,Inorbit Mall,19.035828,72.958443,Clean rooms but poor WiFi,4.7
Shree Nest,PG,Baner,Pune,5772,"Laundry, Mattress, Geyser, TV, Security",Average,Good,2,SPPU,Nanavati,Phoenix Marketcity,18.529027,73.706836,Affordable and peaceful environment,3.4
Happy Heights,PG,Wakad,Pune,13423,"WiFi, Laundry, Fridge, Geyser, Mattress",Poor,Excellent,2,COEP,Lilavati,Phoenix Marketcity,18.588582,73.854818,Affordable and peaceful environment,2.9
Green Villa,PG,Hinjewadi,Pune,12348,"WiFi, CCTV, TV, Gym, Mattress",Average,Good,2,COEP,Nanavati,Inorbit Mall,18.546782,73.764138,Great food and friendly staff,3.9
Blue Heights,PG,Baner,Pune,11867,"Laundry, WiFi, TV, AC, Geyser",Average,Excellent,3,COEP,Lilavati,Inorbit Mall,18.503581,73.747754,Clean rooms but poor WiFi,4.5
Happy Homes,Flat,Kothrud,Pune,8624,"CCTV, Gym, TV, Security, Mattress",Average,Excellent,2,IIT Mumbai,Nanavati,Inorbit Mall,18.553373,73.713617,Very poor maintenance and rude owner,2.9
Blue Villa,Hostel,Powai,Mumbai,6779,"WiFi, CCTV, Laundry, Security, TV",Average,Good,2,SPPU,Lilavati,Inorbit Mall,19.281981,72.969773,Clean rooms but poor WiFi,4.8
Shree Villa,PG,Borivali,Mumbai,6165,"Laundry, Geyser, Security, Fridge, AC",Good,Excellent,2,IIT Mumbai,Lilavati,Seasons Mall,19.075652,72.91099,"Rooms are average, but food is good",3.2
Shree Nest,PG,Wakad,Pune,9639,"AC, Fridge, CCTV, Geyser, WiFi",Poor,Excellent,2,IIT Mumbai,Aditya Birla,Seasons Mall,18.566443,73.871503,Very poor maintenance and rude owner,2.6
Blue Heights,Hostel,Kothrud,Pune,14287,"TV, Security, WiFi, Geyser, Laundry",Poor,Average,1,IIT Mumbai,Lilavati,Seasons Mall,18.57883,73.709685,"Rooms are average, but food is good",2.9
Happy Nest,PG,Borivali,Mumbai,4339,"Gym, CCTV, Laundry, Mattress, AC",Poor,Average,1,SPPU,Lilavati,Inorbit Mall,19.030598,72.933484,Clean rooms but poor WiFi,2.6
Blue Heights,PG,Aundh,Pune,10019,"Fridge, Mattress, Security, AC, WiFi",Good,Average,1,MIT,Aditya Birla,Phoenix Marketcity,18.501243,73.83265,Affordable and peaceful environment,3.6
Sai Homes,Flat,Goregaon,Mumbai,5026,"AC, Security, TV, Gym, CCTV",Poor,Good,1,IIT Mumbai,Lilavati,Seasons Mall,19.266604,72.880693,Affordable and peaceful environment,2.8
Blue Villa,PG,Kothrud,Pune,10418,"WiFi, Laundry, Mattress, TV, Gym",Good,Average,2,MIT,Lilavati,Inorbit Mall,18.539471,73.814646,Clean rooms but poor WiFi,4.6
Happy Villa,Flat,Goregaon,Mumbai,10324,"Laundry, Fridge, AC, Gym, Mattress",Poor,Average,2,COEP,Nanavati,Seasons Mall,19.145033,72.922693,Great food and friendly staff,3.3
Happy Nest,Hostel,Aundh,Pune,12594,"Security, TV, Geyser, Mattress, CCTV",Poor,Average,2,IIT Mumbai,Aditya Birla,Phoenix Marketcity,18.527813,73.724972,Very poor maintenance and rude owner,4.1
Happy Nest,PG,Vashi,Mumbai,12799,"CCTV, Fridge, Geyser, Gym, Security",Average,Average,3,SPPU,Lilavati,Seasons Mall,19.033929,72.969233,"Rooms are average, but food is good",3.5
Green Nest,Hostel,Wakad,Pune,8176,"CCTV, TV, Security, AC, WiFi",Average,Good,3,SPPU,Lilavati,Inorbit Mall,18.568513,73.878177,"Rooms are average, but food is good",4.3
Shree Villa,Hostel,Kothrud,Pune,13307,"WiFi, CCTV, Gym, Fridge, TV",Average,Average,3,MIT,Lilavati,Seasons Mall,18.528235,73.729985,Great food and friendly staff,4.0
Shree Nest,Hostel,Wakad,Pune,8591,"TV, Fridge, Mattress, Gym, CCTV",Good,Excellent,1,MIT,Nanavati,Inorbit Mall,18.50418,73.777892,"Rooms are average, but food is good",4.3
Shree Homes,Flat,Borivali,Mumbai,6766,"WiFi, AC, Laundry, CCTV, Fridge",Good,Average,2,COEP,Aditya Birla,Seasons Mall,19.037914,72.920594,Clean rooms but poor WiFi,4.3
Green Villa,PG,Hinjewadi,Pune,9949,"WiFi, AC, Laundry, CCTV, TV",Good,Good,3,MIT,Aditya Birla,Seasons Mall,18.51309,73.721522,Great food and friendly staff,3.2
Happy Nest,Flat,Andheri,Mumbai,14499,"Geyser, Fridge, TV, Gym, Laundry",Average,Excellent,2,IIT Mumbai,Lilavati,Seasons Mall,19.235727,72.989816,Great food and friendly staff,4.3
Shree Nest,PG,Vashi,Mumbai,10393,"Mattress, AC, Gym, Laundry, TV",Poor,Good,2,SPPU,Aditya Birla,Phoenix Marketcity,19.298226,72.909366,Clean rooms but poor WiFi,3.1
